#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
181970088,955,4,-282,-297,-752,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
182010952,956,4,-282,-280,-752,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
182051318,955,4,-282,-297,-770,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
182092180,955,3,-283,-297,-787,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
182132497,955,3,-282,-262,-717,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
182173306,955,5,-281,-280,-735,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
182213712,955,4,-282,-297,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
182254559,955,4,-281,-315,-735,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
182294995,955,4,-281,-280,-752,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
182335758,955,3,-282,-280,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
182376179,955,4,-282,-297,-752,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
182416943,955,4,-281,-297,-717,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
182457394,955,4,-281,-297,-805,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
182498159,956,4,-282,-315,-770,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
182539026,955,4,-282,-297,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
182579398,955,4,-283,-297,-770,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
182620161,955,4,-282,-297,-717,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
182660615,956,4,-281,-297,-752,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
182701379,955,4,-281,-315,-787,-52,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
182741785,955,3,-283,-297,-787,-70,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
