#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
308230842,-23,3,1008,-280,-735,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
308271163,-23,2,1009,-280,-770,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
308312076,-23,3,1009,-315,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
308352398,-23,3,1009,-297,-770,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
308393164,-23,3,1009,-262,-752,-140,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
308433619,-23,3,1009,-297,-770,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
308474385,-23,3,1009,-297,-787,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
308514838,-23,3,1009,-297,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
308555601,-23,3,1009,-280,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
308596007,-24,3,1009,-297,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
308636820,-23,3,1009,-280,-752,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
308677684,-23,3,1008,-280,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
308718091,-23,3,1008,-297,-752,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
308758494,-23,3,1009,-297,-770,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
308799258,-23,4,1009,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
308840175,-23,3,1008,-297,-752,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
308880495,-23,3,1009,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
308921407,-23,3,1009,-297,-770,-157,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
308961726,-23,3,1008,-297,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
309002489,-23,3,1009,-297,-770,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
309042947,-23,3,1008,-297,-752,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
309083716,-23,3,1009,-297,-735,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
309124171,-23,3,1009,-315,-735,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
309164936,-24,3,1009,-297,-752,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
309205342,-23,3,1009,-280,-770,-87,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
309246154,-23,3,1008,-297,-752,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
309287019,-23,3,1008,-280,-735,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
309327420,-23,3,1009,-297,-770,-122,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
309368287,-23,2,1009,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
309408609,-23,3,1009,-297,-770,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
309449524,-24,3,1009,-297,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
309489846,-23,3,1009,-297,-752,-70,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
309530758,-23,3,1008,-297,-752,-87,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
309571079,-23,3,1008,-280,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
309611843,-23,3,1009,-280,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
309652298,-23,3,1009,-315,-752,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
309693066,-23,3,1008,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
309733520,-23,3,1008,-297,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
309774285,-23,2,1008,-315,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
309814693,-23,3,1009,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
309855506,-23,3,1009,-315,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
309896371,-22,3,1009,-332,-770,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
309936742,-22,3,1008,-315,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
309977607,-23,3,1009,-297,-752,-122,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
310017962,-23,4,1009,-297,-735,-140,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
310058848,-23,3,1009,-297,-770,-105,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
310099170,-23,3,1009,-297,-752,-105,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
